index,Ticker,Article Title
0,['ROL'],"INVESTIGATION NOTICE: The Schall Law Firm Encourages Investors in Rollins, Inc. with Losses of $100,000 to Contact the Firm"
1,['ROL'],"ROLLINS INVESTIGATION: Block & Leviton Is Investigating Rollins, Inc. For Potential Securities Law Violations; Investors Who Have Lost Money Are Encouraged to Contact the Firm"
2,['ROL'],"INVESTIGATION REMINDER: The Schall Law Firm Encourages Investors in Rollins, Inc. with Losses of $100,000 to Contact the Firm"
3,['ROL'],"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Rollins, Inc. - ROL"
4,['ROL'],"INVESTIGATION ALERT: The Schall Law Firm Encourages Investors in Rollins, Inc. with Losses of $100,000 to Contact the Firm"
5,['ROL'],"ROLLINS ALERT: Bragar Eagel & Squire, P.C. is Investigating Rollins, Inc. on Behalf of Rollins Stockholders and Encourages Investors to Contact the Firm"
6,['ROL'],"ROSEN, NATIONAL INVESTOR COUNSEL, Encourages Rollins, Inc. Investors with Losses to Inquire About Class Action Investigation - ROL"
7,['ROL'],"INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Rollins, Inc. and Encourages Investors with Losses of $100,000 to Contact the Firm"
8,['ROL'],"EQUITY ALERT: Rosen Law Firm Encourages Rollins, Inc. Investors with Losses to Inquire About Class Action Investigation – ROL"
9,['ROL'],"Glancy Prongay & Murray LLP, a Leading Securities Fraud Law Firm, Announces Investigation of Rollins, Inc. (ROL) on Behalf of Investors"
